Actual,Predicted,Date,Username,Tweet
neutral,neutral,28/2/2025 11:03,TMReserve,zulfarhan osman mother soldier son dignity tmrnews
negative,negative,8/11/2023 14:20,Pluviophiles19,dont deserve life muka pembunuh
negative,negative,2/3/2025 0:35,reefjrx,terbaik keputusan hakim makin ramai mungkin pembuli pemyeterika manusia lepas
neutral,neutral,3/11/2021 0:34,MuhdSuk11794604,alfatihah dibaca tajwid
neutral,neutral,2/11/2021 7:37,GeorgeGerald,upnm student find guilty culpable homicide death zulfarhan osman
neutral,neutral,3/6/2017 12:16,HigherEdTopNews,higher education ministry view zulfarhan osmans via
neutral,neutral,31/7/2019 3:49,snoraien,sorang kenapa bebas sesiapa jelaskan faham
neutral,neutral,3/11/2021 0:34,MuhdSuk11794604,alfatihah dibaca tajwid
positive,positive,23/7/2024 20:50,Izzatiizzlyn,alhamdulillahallah pernah tidur
negative,negative,23/7/2024 9:30,hazlamiharun1,patutnya warden ketika kejadian tuu ambil tindakan
neutral,neutral,3/12/2019 12:38,NST_Online,nstnation fourth accuse trial involve murder national defence university malaysia upnm cadet officer zulfarhan osman zulkarnain claim know steam iron use interrogation hot
positive,positive,8/11/2024 3:46,eemrun97,upnm dah start restrict penggunaan seterika dekat kolej biar berantai bilik gosok baju tiap kali nak pakai kena tulis nama prevention better cure bcus get hand need serious action take
negative,negative,1/3/2025 0:02,illyiarazak,bodohnya pakar patut ditekap seterika
positive,positive,26/7/2024 11:52,noteworthytopcs,dah mula balik saman upnm ambik lawyer ganas sikit
negative,negative,28/2/2025 13:30,kulupmelayu14,sengaja kepala butoh lancau berenam layak diikat tengah bandar kl masyarakat dibelasah kawkaw
neutral,neutral,2/11/2021 11:48,The_FullFrontal,year yearold zulfarhan osmans death allege assailant receive sentence
negative,negative,1/8/2019 2:08,MrHairulAnuar,read chronology arwah zulfarhan osman besides culprit order enter defence really hope trainer spread surat layang via whatsapp court martialed
negative,negative,25/1/2019 13:18,yayazarif,kalau kena mandatori orang takpe mak ayah kehilangan anak teruk tahu dak ee gerammm
neutral,neutral,28/2/2025 5:30,NewsBFM,six former upnm student escape death penalty navy cadet officer zulfarhan osman zulkarnain federal court grant appellant appeal reduce sentence murder year prison culpable homicide amount
neutral,neutral,17/11/2017 11:40,SCMPNews,malaysian tragedy torture murder cadet zulfarhan osman
neutral,neutral,5/11/2019 15:36,lawreviewUM,accuse apologises family murder cadet officer muhammad azamuddin mad sofi second take witness stand tear apologised member zulfarhan osman zulkarnain die physical abuse
negative,negative,1/3/2025 3:11,Naz11Mr,claim pengalaman pahit wah senang kau dah lesap nyawa anak orang know² mengaku insafingat insaf hidupkan balik keharap kena bedok jail
positive,neutral,3/11/2021 8:33,ParisAr42442891,tiada katakata nak titipkan ibu bapa arwah melainkan doa moga sentiasa yakin bahawa allah maha adil kuatkan semangat bersama penyayang
positive,positive,16/5/2024 8:55,Mukhlis09_,hutang darah dibayar
positive,positive,29/6/2018 11:55,tj_wong,god bless universiti reason need lawyer like good self defend innocent
neutral,neutral,1/3/2025 3:11,imannuraim,dark side court case defend anything lessen charge againts client
positive,positive,31/7/2019 3:54,jass_fun,jauh perjalanan kes semoga allah permudahkan
negative,negative,1/3/2025 5:36,syima_hamzah,maybe pakar kene buat case study seterika berkalikali sampai masak isi terima rawatan asap baru buktikan mati buatlah dekat salah seorang pesalah janjikan terlepas hukuman sebab volunteer diri
negative,negative,1/3/2025 10:49,siodelta,tapi mangsa telah meninggal dunia amp sek kk tetapkan hukuman penjara maksimum tahun
positive,positive,24/7/2024 13:13,TautanKasih,budaya buli harus dihapuskan impak nya besar menjadi trauma mendalam
negative,negative,28/2/2025 22:58,inseqyo,kalau kena saterika tiada dapat luka berdarah semua takdelah datang infection takkan nak kata disebabkan tikam pisau direct jantung dikira faktor utama amende sia
neutral,neutral,16/5/2024 12:53,Juanescoba3,nak tanye bomoh budakbudak jumpa bagitau zulfarhan curi laptop kena hukuman
negative,negative,24/1/2019 7:11,ShashaGurlz96,kesian arwah hmmdekat dunia lari manusia kome tipu tapi bila allah sampai akhirat weyh tanggung
neutral,neutral,25/7/2024 5:44,fauzitahir8098,kapten haryani jantan betina
positive,positive,4/11/2021 8:47,ChePutih7,alhamdulillah moga tenang bonda bapa arwah disana bila keadaan dpandang seriusrakyat lebih
negative,negative,30/6/2018 1:45,norarsmn,sambil baca terbayangkan macam mana arwah kena seksa
positive,positive,23/7/2024 5:31,embunkarinaword,alhamdulillah
positive,positive,16/5/2024 4:23,Syarklovett,setuju supaya pengajaran amp perkara berlaku hukuman penjara seumur hidup ringan bagi
positive,positive,16/5/2024 1:38,dycoldie,mantap hutang nyawa dibayar
negative,negative,26/7/2024 14:23,_xxw4,upnm memang babi banyak gila kes buli tetapi senyap buat bodo la ada public statement sebab bangga budaya macam kampus tutup
neutral,neutral,1/3/2025 3:50,norris_anggun71,saksi bab sp dr salmah arshad punca jahanam lepas bagaimanapun hakim hasnah berkata telah mengubah pernyataannya ketika disoal peguam semasa perbicaraan menyatakan kesan kebakaran peratus menyebabkan kematian tetapi semestinya mati
negative,negative,28/2/2025 12:43,HatiHitam_,buang hukum gantung macam der function esok bunuh orang kata dah insaf dapat bebas ada banduan kena ingat
positive,positive,1/3/2025 2:08,aerinheavenzz,ye betul la insaf alhamdulillah tetapi mati dibalas dek nanti dekat mahsyar susah dah waktu
positive,positive,23/7/2024 5:31,embunkarinaword,alhamdulillah
positive,positive,26/7/2024 16:02,sha_hussin,kalau bantuan kewangan upah lawyer malaysia sudi bantu
neutral,neutral,31/7/2019 12:18,NewsBFM,national defence university malaysia student order kl high court enter murder case cadet officer zulfarhan osman zulkarnain come prosecution successfully prove prima facie end submission
neutral,neutral,30/12/2020 9:03,hsceria_,sir tahu apa beza pendakwa raya timbalan siapakah orang memegang jawatan tersebut agc semuanya adakah seorang peguam asalnya menjadi bela okt lain
negative,negative,2/11/2021 8:40,iman__210,layak talus gantung ja nyawa dibayar la tahun dok dekat penjara mna cukup
positive,positive,24/7/2024 15:30,SirHishamMahir,semoga tenang roh arwah sana syurga nanti rasa dah siksa dunia allah terbayang kalau kena macam
positive,positive,23/7/2024 4:58,_user131095,alhamdulillah
neutral,neutral,25/7/2024 5:11,TaufiqMNi,baru pertama kali tengok semula surat semenjak kejadian
positive,positive,23/7/2024 5:01,rdnaiman,pengajaran si kaki buli dah bagitahu anak masing jangan usik orang dekat sekolah
neutral,neutral,1/3/2025 3:11,imannuraim,dark side court case defend anything lessen charge againts client
negative,negative,3/11/2021 5:05,arhaj1,sedih kesian kepada arwah serta keluarga pelaku harapan masa depan hancur bagi diri amp kebodohan ego apakah masyarakat malaysia kini insaf mengambil ikhtibar sepenuhnya insiden bukan kali seterika panas
neutral,neutral,7/11/2021 16:55,NST_Online,nstopinion tuesday kualalumpur highcourt judge datuk azman abdullah hand year jail sentence six university student convict commit culpable homicide death cadet officer zulfarhan osman zulkarnain
negative,negative,23/7/2024 4:55,hunn_dm,sebelum gantung seterika dulu badan pembunuhpembunuh
neutral,neutral,3/11/2021 0:42,rahmatrashid,siapa kah doktor klinik swasta bertanggung jawab
negative,negative,1/3/2025 4:48,Bvt__,takyah penjara la kalau macam hukuman biar sama apa arwah kena
positive,positive,16/5/2024 3:14,SuaraHitamPutih,doakan baikbaik agar ketika menjalani hukuman bertemu hidayah
positive,positive,30/6/2018 2:16,dnonfire,painful read may justice prevail thought decease parent
neutral,neutral,2/11/2021 15:25,NewsBFM,zulfarhans mother hawa osman say become paranoid allow child pursue study far home still traumatise happen eldest son trauma membenarkan anakanak lain memasuki badan beruniform
negative,negative,9/11/2024 4:35,dauskatang,upnm dah lubuk menghasilkan pembuli apa pihak atasan buat selama lama budaya buli bersarang
positive,positive,23/7/2024 4:54,Shadow_Kurou,alhamdulillah justice serve
positive,positive,24/7/2024 13:27,iAmAreyap,alhamdulillah
neutral,neutral,23/1/2019 13:10,NST_Online,nstcourt witness saw one accuse cadet marine officer zulfarhan osman zulkarnain murder case hold steam iron
neutral,neutral,26/10/2018 9:21,baikragu,next hearing th october friend send poisonpen letter abuse zulfarhan osman avoid similar treatment malay mail
positive,positive,8/7/2019 15:19,qamraqurratuain,semoga ada justice boy please
neutral,neutral,3/11/2021 1:32,onceadarn,siapa curi laptop sebenarnya memang betul hilang jumpa sampai wujud serius tolong
negative,negative,26/7/2024 12:41,RashidA29116602,minta bebudak support sepertiga gaji sepanjang hayat kemdianvlebllihan infaq atas nama alzulfarhan
neutral,neutral,25/7/2024 5:44,fauzitahir8098,kapten haryani jantan betina
negative,negative,2/11/2021 9:12,cumie94,tetapi elok jugak penjara bila habis tempoh hukuman keluar rasa diterima masyarakat seksa
negative,negative,23/7/2024 4:47,MohdHan23772540,sedih tengok mak ayah
negative,negative,24/1/2019 2:50,szehighli5ht,bully totally acceptable cane mother felt sad hurt look amount injury boy body one deserve die manner may world peace love
positive,positive,24/7/2024 4:58,edwinbazz,gantung menara petronas biadab
neutral,neutral,25/7/2024 14:00,NewsBFM,suhakam say share grief anguish family zulfarhan osman zukarnain recognise severity crime however sentence six exunpm student death mark sad solemn day malaysias judicial history
positive,positive,23/7/2024 21:10,KmlSrh,sedih arwah lega dah win
neutral,neutral,9/7/2019 6:55,noorsafiaa,maaf nak tanya okt apa
positive,positive,26/7/2024 12:58,snh7710,saman pakcik makcik bagi puashati nanti menyesal kalau
positive,positive,9/7/2019 6:31,sayabaiktaw,doa jela
positive,positive,23/7/2024 4:54,Shadow_Kurou,alhamdulillah justice serve
positive,positive,16/5/2024 1:38,dycoldie,mantap hutang nyawa dibayar
negative,negative,25/7/2024 5:57,arifakib1,nyawa hilang disebabkan ketidakpedulian mempunyai kuasa bertindak
negative,negative,1/3/2025 10:39,softbalm_,sengaja kepala bana kau la barua
neutral,neutral,2/6/2017 23:23,mynameissyauqi,want aware bullyingturned murder case half hour agozulfarhan osman bin zulkarnain navy cadet upnm pass yo
negative,negative,24/7/2024 23:25,amirulfahmis,kepada doktor azfar bin hussin klinik salam kau memang babi ye nak duit report polis lepas tengok si mati kesan lecur sebanyak lebam kena tumbuk patut tarik lesen masuk jail atas kecuaian
neutral,neutral,10/7/2019 10:55,fqfaiq,lawyer dorang bela sampai lepas terus supaya kurangkan hukuman
neutral,neutral,24/7/2024 0:51,sinardailymy,court appeal today impose death sentence six former student universiti pertahanan nasional malaysia upnm murder navy cadet officer zulfarhan osman zulkarnain seven year ago bully crime
negative,negative,28/2/2025 22:58,inseqyo,kalau kena saterika tiada dapat luka berdarah semua takdelah datang infection takkan nak kata disebabkan tikam pisau direct jantung dikira faktor utama amende sia
neutral,neutral,3/11/2021 7:07,ZyiteGadgets,verdict naval cadet zulfarhan osmans case hisham warn upnm armed force never let heinous act recur
neutral,neutral,26/7/2024 9:49,malaymail,parent late zulfarhan osman today say none individual responsible son death come forward apologise since incident radio interview father zulkarnain idros mother hawa accuse
positive,positive,23/7/2024 4:53,yoizfxiz,alhamdulillah
negative,negative,29/11/2017 13:54,amieyrazmi_,happy birthday arwah zulfarhan osman
negative,negative,23/7/2024 15:11,amirullzamani2,pembunuh jahanam polis calon spm polo nur farah kartini
negative,negative,25/7/2024 5:05,farahhana1982,genuine question student upnm masa ada curfew keluar tujukan surat pihak luarpolis bagaimana handphone call
positive,positive,16/5/2024 6:35,nursyamim_rosli,sokong nyawa balas nywa
positive,positive,23/7/2024 20:50,Izzatiizzlyn,alhamdulillahallah pernah tidur
neutral,neutral,30/3/2021 12:14,bernamadotcom,upnm student tell kuala lumpur high court today someone punch cadet marine officer zulfarhan osman zulkarnain victim room university jebat hostel building
negative,negative,2/11/2021 9:29,LadyD25747613,cukup benci buli dijadikan perkara normal budakbudak asrama mengarut ja la kalau orang kata nak suruh junior belajar hormat ada jati diri kuat kepala hotak korang pengetua cikgu penyelia tolong tunggu anak mati baru bertindak
neutral,neutral,16/8/2018 14:26,malaymail,friend send poisonpen letter abuse zulfarhan osman avoid similar treatment
negative,positive,26/7/2024 11:30,AF1070159930,samannnn
negative,neutral,7/9/2020 15:36,AzliyatunShima,sicken reminds zulfarhan osman case
neutral,neutral,2/11/2021 4:02,NewsBFM,kuala lumpur high court find six upnm student guilty culpable homicide amount murder marine cadet officer zulfarhan osman section penal code escape gallows judge group intent
positive,positive,24/7/2024 4:58,edwinbazz,gantung menara petronas biadab
negative,negative,28/2/2025 15:21,raimirusyaidii,insaf acik keluar mahkamah sengih kambing padahal baru buat perbuatan jenayah bangsat betul lahh penjara er lanceret punya budak
positive,positive,25/7/2024 0:05,doktunggulagi,ambil pengajaran kisah tahu ujian kelak kalau ikutkan tertuduh cuma tekap sekali sahaja tapi talus gantung iktibar perkara belajar katakan satusatu arahan terutama sedang alam pekerjaan
positive,positive,3/11/2021 6:47,fakruddinkdo,semoga arwah dicucuri rahmat
positive,positive,23/7/2024 20:50,Izzatiizzlyn,alhamdulillahallah pernah tidur
neutral,neutral,26/10/2018 9:21,baikragu,next hearing th october friend send poisonpen letter abuse zulfarhan osman avoid similar treatment malay mail
negative,negative,29/6/2018 10:28,maxxximus46,normal everyone soft side honest decease suffer lot
positive,positive,26/7/2024 12:41,Mast851,sangat setuju sangatgo go
positive,positive,14/2/2024 10:48,Mariya_takeuci,year already alfatihah zulfarhan osman
negative,negative,8/11/2024 7:56,Tengku_Rak_,dah ada kes duluan lakukan kesalahan sama masuk universiti tapi msih paloi
neutral,neutral,18/6/2024 13:41,Margare96602396,navy cadet burn death hot iron bullies｜zulfarhan osman via
neutral,neutral,1/11/2024 3:15,malaymail,father murder army cadet zulfarhan osman zulkarnain express sadness abuse still happen universiti pertahanan nasional malaysia upnm harian metro cite idros say shock similar suffer late son
negative,negative,3/11/2021 6:59,adzuwanab,budakbudak penjara jatuh sabun atas lantai harihari
negative,negative,1/3/2025 2:06,syaminzamri_,let kill people say opps sengaja oh dah insaf fucker sick head normal manusia takkan tekap orang pakai seterika expect sihat rot hell yall jahanam
negative,negative,28/2/2025 12:10,shahnisa_99,kesian tengok wajah parent arwah rasa macam fair keluarga
negative,negative,24/7/2024 14:49,dannyhaiqal15,nak tanya satu dekat babimacam mana kau hidup tidur makan bernafas tenang lepas seksa bunuh orang
neutral,neutral,1/11/2021 7:33,NST_Online,nstnation university pertahanan nasional malaysia upnm student stand trial death cadet officer zulfarhan osman zulkarnain four year ago learn fate tomorrow
positive,positive,25/7/2024 12:50,KenDjoko,hebat malaysia indonesia ga ada hukuman tegas begini sini cuma penjara relatif ringan kasus pembunuhan santri pesantren siswa sekolah kedinasan semua hangat tai ayam
neutral,neutral,2/11/2021 5:22,TMReserve,six upnm student find guilty culpable homicide death zulfarhan osman court
neutral,neutral,23/7/2024 6:30,WORLDOFBUZZ,court appeal reinstate death penalty exupnm student murder zulfarhan osman
negative,negative,1/3/2025 7:31,amirbetul,sabar tunggu dorang kluar takda niat gitu menyesal
neutral,neutral,2/11/2021 6:46,NewsBFM,six upnm student sentence year prison cause death marine cadet officer zulfarhan osman four ago kuala lumpur high court order men serve jail sentence date arrest
positive,positive,16/5/2024 6:35,nursyamim_rosli,sokong nyawa balas nywa
negative,negative,8/11/2024 23:44,wnyadnn,kau kenapa dek tau akak terkena wap melompat inikan plak p tekap dekat bdn kawan amende
negative,negative,3/11/2021 5:40,Zulyanaayahya,masalahnya kalau tekup sekali la nak kata mencederakan sampai geram betul takkan terfikir consequence lepas kau iron orang sihat walafiat pemikiran cap ayam mangkuk semua
neutral,positive,23/1/2019 23:08,xziexdnxn,alfatihah arwah adib
positive,positive,1/3/2025 4:23,parkmart2010,semoga allah berikan pembalasan kepada pesalah tersebut dunia walaupun terlepas hukuman undangundang manusia
negative,negative,24/7/2024 11:46,mel_abu,sekarang kau puji hakimdan badan kehakimanmasa najib kena jatuh hukum hentam kehakiman apa lanampak sangat makan dedak
neutral,neutral,5/11/2019 12:45,staronline,first accuse murder universiti pertahanan nasional malaysia upnm naval cadet officer zulfarhan osman zulkarnain admit place hot iron victim sole knee
negative,negative,4/11/2021 14:41,MAISARAHOTHMAN_,pecat ambil tindakan atas semua terlibat jenayah berat tiada kompromi
positive,positive,31/5/2018 16:36,_lalawatson,year sahabat laugh amp joke share thought nonsense tear madness alfatihah zulfarhan osman know great
positive,positive,16/5/2024 4:23,Syarklovett,setuju supaya pengajaran amp perkara berlaku hukuman penjara seumur hidup ringan bagi
negative,negative,25/7/2024 8:37,kabutneaubilem,rasa hayani dah bekas kapten harapnya membazir duit bayar gaji
negative,negative,25/1/2019 4:24,lynnmael,harapharap lunyai kena pijak seniorsenior penjara kelak jangan bagi mati pecah patah riuk pastu belum sembuh sangat tetapi dah sampai semula amin rabbal alamin
negative,negative,28/2/2025 13:38,ki5hikaisei,try letak tangan dekat seterika tengok mampus kene tekap satu badan takkan la menyebabkan kematian nonsense
positive,positive,24/7/2024 8:30,lyurcid,heard happen zulfarhan osman omfg inalillah may soul comfort granted jannah allah give parent strength
neutral,neutral,26/7/2024 9:14,Slackjaw8297,may zulfarhan osman student national defence university malaysia upnm severely assault fellow student upnmcase
negative,negative,8/11/2024 18:23,syawallllllllll,ban la iron dekat upnm biar pakai kedut dr makin teruk kes orang sana sini macam ambik pengajaran even sebelum ada besar
positive,positive,23/7/2024 11:50,dylakarim,alhamdulillah hapuskan pembulipembuli malaysia payah ada rasa simpati orangorang macam gantung semua
negative,negative,28/2/2025 9:12,alip108,dah keluar nanti kena langgar mati la memasing semua
neutral,neutral,23/7/2024 5:19,izzyumi,laptop hilang dah jumpa belum
neutral,neutral,30/3/2021 12:14,bernamadotcom,upnm student tell kuala lumpur high court today someone punch cadet marine officer zulfarhan osman zulkarnain victim room university jebat hostel building
negative,negative,29/6/2018 8:24,manjopie,allah kau bagi culik diseksa macam cerita saw
positive,positive,25/7/2024 0:05,doktunggulagi,ambil pengajaran kisah tahu ujian kelak kalau ikutkan tertuduh cuma tekap sekali sahaja tapi talus gantung iktibar perkara belajar katakan satusatu arahan terutama sedang alam pekerjaan
negative,negative,28/2/2025 23:35,WaisibBin,pakar amp hakim peguam serangkai mata ditutup syaitan
positive,positive,16/5/2024 0:41,najwaakamal,yes nyawa dibalas
neutral,neutral,26/6/2018 12:14,theSundaily,zulfarhan osman say take laptop witness
neutral,neutral,1/3/2025 3:11,imannuraim,dark side court case defend anything lessen charge againts client
negative,negative,16/5/2024 8:54,MuhdAfiffff,pengajarannya ialah lepas kalau nak bunuh oranglantik lawyer powerguna hujah membunuh tampa niatdapat la makan free jailjangan risautak kenw hukum mati
neutral,neutral,3/11/2021 11:12,ZainudinHashim8,elakkan budaya buli sekolah asrama kejadian menyebabkan kematian pernah belaku ditempat lie berasrama pihak pengurusan kolej ambil berat tentang perkara supaya berulang
neutral,neutral,26/10/2018 9:21,baikragu,next hearing th october friend send poisonpen letter abuse zulfarhan osman avoid similar treatment malay mail
negative,negative,1/3/2025 4:51,wookieswoob,dah kena suap
neutral,neutral,25/7/2024 5:44,fauzitahir8098,kapten haryani jantan betina
positive,positive,3/6/2017 7:00,SAYSPhilippines,know late navy cadet officer zulfarhan osman zulkarnain polite softspoken nature
neutral,neutral,8/4/2021 16:01,fmtoday,defence witness include upnm student charge murder injure abet murder zulfarhan osman zulkarnain fmtnews court
negative,negative,23/7/2024 4:39,acbnrff,patut gantung kren dekat dataran merdeka hari ahad esoknya cuti umum
negative,negative,23/7/2024 9:04,rayyanharies,may rest peace zulfarhan osman zulkarnain six bully gon na hang death hell murderer languish fiery depth neraka jahanam suffer tenfold torment inflict upon
negative,negative,25/7/2024 4:41,ThruPeep,macam mana join askar pakai spekbetulah semak upnm bila atm
positive,positive,24/7/2024 15:30,SirHishamMahir,semoga tenang roh arwah sana syurga nanti rasa dah siksa dunia allah terbayang kalau kena macam
neutral,neutral,3/11/2021 1:32,onceadarn,siapa curi laptop sebenarnya memang betul hilang jumpa sampai wujud serius tolong
positive,positive,26/7/2024 22:54,budaknakal779,setuju beliau menyaman pihak upnm
neutral,neutral,1/3/2025 3:50,norris_anggun71,saksi bab sp dr salmah arshad punca jahanam lepas bagaimanapun hakim hasnah berkata telah mengubah pernyataannya ketika disoal peguam semasa perbicaraan menyatakan kesan kebakaran peratus menyebabkan kematian tetapi semestinya mati
negative,negative,9/11/2024 9:09,mo025773,kejadian sama berulangmak bapak anak nak sambung belajar pikir masak pilih universiti nibuli dah budaya
positive,positive,23/7/2024 5:42,Tuliiipps,keadilan arwah semoga mnjadi pengajaran
positive,positive,3/11/2021 2:25,SaifulMikail,moga arwah tenang sana tuntut segalaaaaaa nya
negative,negative,9/11/2024 6:37,zahir260493,cer seterika balik badan bagi rasa
neutral,neutral,1/11/2021 7:59,imminent_news,🇲🇾 nstnation university pertahanan nasional malaysia upnm student stand trial death cadet officer zulfarhan osman zulkarnain four year ago learn fate tomorrow mostshared
positive,positive,23/7/2024 5:42,Tuliiipps,keadilan arwah semoga mnjadi pengajaran
neutral,neutral,9/7/2019 5:10,Balmutalib,ada baca dekat story adik arwah katanya allergic antibiotic sebab waktu suspect bawak pergi klinik dapat treatment makin teruk sebenarnya surat refer hosp tapi depa
neutral,neutral,17/11/2017 10:10,AndyVermaut,malaysian tragedy torture murder cadet zulfarhan osman
positive,positive,24/7/2024 12:58,ritzramo,lepas nie kes adib pula dapat keadilan sepenuhnya
neutral,neutral,29/6/2018 5:48,jokercrew69,case selesai lgi
negative,negative,25/7/2024 13:36,Thehulkey,pelik perangai doktor kesihatan tentera memang prangai bangsat skod pecah usus kena rag kata macam mana nak askar bru sikit dah kiwak kau buddy tengok depan mata jek dekat perut relax orang icu kot mujur xmati
positive,positive,26/7/2024 12:49,AzisAdib,saman
positive,positive,8/7/2019 15:19,qamraqurratuain,semoga ada justice boy please
positive,positive,17/5/2024 0:26,AbdulMu52303682,setuju nyawa dibalas
neutral,neutral,18/7/2017 6:59,mat4g13,aug mention date upnm student charge navy cadet officer zulfarhan osmans death
neutral,neutral,26/10/2018 9:21,baikragu,next hearing th october friend send poisonpen letter abuse zulfarhan osman avoid similar treatment malay mail
neutral,neutral,9/4/2020 16:50,syeraaaa6,punishment retribution
neutral,neutral,24/10/2018 14:51,baikragu,tomorrow court hear zulfarhan osman murder case
neutral,neutral,23/7/2024 20:38,vebrianza_,kalau indo gak mungkin nih dihukum mati tau sendiri hukum nya gimana
positive,positive,26/7/2024 12:41,Mast851,sangat setuju sangatgo go
positive,positive,26/7/2024 12:07,kuniverse1311,sokong saman upnm
positive,positive,26/7/2024 14:26,AfafAsyr4f,saman
neutral,neutral,25/7/2024 5:11,TaufiqMNi,baru pertama kali tengok semula surat semenjak kejadian
positive,positive,3/11/2021 0:56,mumyakim,semoga arwah tenang ditempatkan dikalangan org berimanal fatihah
neutral,neutral,3/11/2021 14:30,staronline,attorney general chamber appeal high court rule convict six student upnm culpable homicide amount murder case zulfarhan osman zulkarnain
negative,negative,4/11/2021 2:27,AminGibson96,hakim peguam kawankawan family would like see treatment get afterlife
positive,positive,23/7/2024 4:54,Shadow_Kurou,alhamdulillah justice serve
neutral,neutral,1/11/2024 3:15,malaymail,father murder army cadet zulfarhan osman zulkarnain express sadness abuse still happen universiti pertahanan nasional malaysia upnm harian metro cite idros say shock similar suffer late son
neutral,neutral,28/2/2025 5:30,NewsBFM,six former upnm student escape death penalty navy cadet officer zulfarhan osman zulkarnain federal court grant appellant appeal reduce sentence murder year prison culpable homicide amount
positive,positive,26/7/2024 11:12,TemporaryWorld9,sokong saman upnm bukan dapat duit sahaja tetapi supaya insaf pastikan jenayah menimpa arwah zulfalhan berlaku kepada anak orang lain
positive,positive,23/7/2024 12:31,asianewsnetwork,justice hadhariah syed ismail chair threejudge panel describe crime commit zulfarhan osman zulkarnain seven year ago rarest rare spoke parent must felt malaysia thestar
neutral,neutral,25/7/2024 7:55,LilleAmma,mungkin penuntut talus gantung والله اعلم بالصواب هاڽ الله يڠ مڠتاهويڽ
neutral,neutral,23/7/2024 5:19,izzyumi,laptop hilang dah jumpa belum
negative,negative,1/3/2025 6:08,izz_tjdin,know shes real point need kang bitna judge justiceforzulfarhan
